categorie,nom,hp,atk,def,mercyGoal,act1,act2,act3,act4
NORMAL,Froggit,30,7,1,80,COMPLIMENT,DISCUSS,-,-
NORMAL,Whimsun,25,5,1,70,JOKE,PET,-,-
NORMAL,Moldsmal,20,4,0,90,DANCE,COMPLIMENT,-,-
NORMAL,Loox,28,6,1,80,OBSERVE,INSULT,-,-
NORMAL,Migosp,32,8,1,70,DISCUSS,TAUNT,-,-
MINIBOSS,MimicBox,45,10,2,90,OBSERVE,PET,OFFER_SNACK,-
MINIBOSS,Shyren,50,12,3,80,JOKE,DANCE,INSULT,-
MINIBOSS,Aaron,55,11,3,100,COMPLIMENT,TAUNT,REASON,-
BOSS,QueenByte,80,15,4,90,REASON,DANCE,JOKE,INSULT
BOSS,Toriel,90,18,5,100,REASON,COMPLIMENT,PET,DISCUSS
